Sample Name	Extract Name	Protocol REF	Protocol REF	Comment[library name]	Parameter Value[Label]	Term Source REF	Term Accession Number	Protocol REF	Comment[technology type]	Hybridization Assay Name	Array Design REF	Protocol REF	Array Data File	Protocol REF	Parameter Value[Raw Intensities Table]	Parameter Value[Normalized Expression Table]	Parameter Value[differential expression analysis data]
GSM1347827 extract 1	GSM1347827 extract 1	Nucleic Acid Extraction Protocol	Labelling Protocol	GSM1347827 LE 1	Cy3	OSD	https://osdr.nasa.gov/	Hybridization Protocol	array assay	GSM1347827	AGILENT WholeGenome 4x44k v2	Array Scanning Protocol	GLDS-183_microarray_GSM1347827_H1299_BP_rep5.txt	GeneLab microarray data processing protocol	GLDS-183_array_raw_intensities_GLmicroarray.csv	GLDS-183_array_normalized_expression_GLmicroarray.csv	GLDS-183_array_SampleTable_GLmicroarray.csv,GLDS-183_array_contrasts_GLmicroarray.csv,GLDS-183_array_differential_expression_GLmicroarray.csv
GSM1347826 extract 1	GSM1347826 extract 1	Nucleic Acid Extraction Protocol	Labelling Protocol	GSM1347826 LE 1	Cy3	OSD	https://osdr.nasa.gov/	Hybridization Protocol	array assay	GSM1347826	AGILENT WholeGenome 4x44k v2	Array Scanning Protocol	GLDS-183_microarray_GSM1347826_H1299_BP_rep4.txt	GeneLab microarray data processing protocol	GLDS-183_array_raw_intensities_GLmicroarray.csv	GLDS-183_array_normalized_expression_GLmicroarray.csv	GLDS-183_array_SampleTable_GLmicroarray.csv,GLDS-183_array_contrasts_GLmicroarray.csv,GLDS-183_array_differential_expression_GLmicroarray.csv
GSM1347825 extract 1	GSM1347825 extract 1	Nucleic Acid Extraction Protocol	Labelling Protocol	GSM1347825 LE 1	Cy3	OSD	https://osdr.nasa.gov/	Hybridization Protocol	array assay	GSM1347825	AGILENT WholeGenome 4x44k v2	Array Scanning Protocol	GLDS-183_microarray_GSM1347825_H1299_BP_rep3.txt	GeneLab microarray data processing protocol	GLDS-183_array_raw_intensities_GLmicroarray.csv	GLDS-183_array_normalized_expression_GLmicroarray.csv	GLDS-183_array_SampleTable_GLmicroarray.csv,GLDS-183_array_contrasts_GLmicroarray.csv,GLDS-183_array_differential_expression_GLmicroarray.csv
GSM1347824 extract 1	GSM1347824 extract 1	Nucleic Acid Extraction Protocol	Labelling Protocol	GSM1347824 LE 1	Cy3	OSD	https://osdr.nasa.gov/	Hybridization Protocol	array assay	GSM1347824	AGILENT WholeGenome 4x44k v2	Array Scanning Protocol	GLDS-183_microarray_GSM1347824_H1299_BP_rep2.txt	GeneLab microarray data processing protocol	GLDS-183_array_raw_intensities_GLmicroarray.csv	GLDS-183_array_normalized_expression_GLmicroarray.csv	GLDS-183_array_SampleTable_GLmicroarray.csv,GLDS-183_array_contrasts_GLmicroarray.csv,GLDS-183_array_differential_expression_GLmicroarray.csv
GSM1347823 extract 1	GSM1347823 extract 1	Nucleic Acid Extraction Protocol	Labelling Protocol	GSM1347823 LE 1	Cy3	OSD	https://osdr.nasa.gov/	Hybridization Protocol	array assay	GSM1347823	AGILENT WholeGenome 4x44k v2	Array Scanning Protocol	GLDS-183_microarray_GSM1347823_H1299_BP_rep1.txt	GeneLab microarray data processing protocol	GLDS-183_array_raw_intensities_GLmicroarray.csv	GLDS-183_array_normalized_expression_GLmicroarray.csv	GLDS-183_array_SampleTable_GLmicroarray.csv,GLDS-183_array_contrasts_GLmicroarray.csv,GLDS-183_array_differential_expression_GLmicroarray.csv
GSM1347822 extract 1	GSM1347822 extract 1	Nucleic Acid Extraction Protocol	Labelling Protocol	GSM1347822 LE 1	Cy3	OSD	https://osdr.nasa.gov/	Hybridization Protocol	array assay	GSM1347822	AGILENT WholeGenome 4x44k v2	Array Scanning Protocol	GLDS-183_microarray_GSM1347822_H1299_DBP_rep5.txt	GeneLab microarray data processing protocol	GLDS-183_array_raw_intensities_GLmicroarray.csv	GLDS-183_array_normalized_expression_GLmicroarray.csv	GLDS-183_array_SampleTable_GLmicroarray.csv,GLDS-183_array_contrasts_GLmicroarray.csv,GLDS-183_array_differential_expression_GLmicroarray.csv
GSM1347821 extract 1	GSM1347821 extract 1	Nucleic Acid Extraction Protocol	Labelling Protocol	GSM1347821 LE 1	Cy3	OSD	https://osdr.nasa.gov/	Hybridization Protocol	array assay	GSM1347821	AGILENT WholeGenome 4x44k v2	Array Scanning Protocol	GLDS-183_microarray_GSM1347821_H1299_DBP_rep4.txt	GeneLab microarray data processing protocol	GLDS-183_array_raw_intensities_GLmicroarray.csv	GLDS-183_array_normalized_expression_GLmicroarray.csv	GLDS-183_array_SampleTable_GLmicroarray.csv,GLDS-183_array_contrasts_GLmicroarray.csv,GLDS-183_array_differential_expression_GLmicroarray.csv
GSM1347820 extract 1	GSM1347820 extract 1	Nucleic Acid Extraction Protocol	Labelling Protocol	GSM1347820 LE 1	Cy3	OSD	https://osdr.nasa.gov/	Hybridization Protocol	array assay	GSM1347820	AGILENT WholeGenome 4x44k v2	Array Scanning Protocol	GLDS-183_microarray_GSM1347820_H1299_DBP_rep3.txt	GeneLab microarray data processing protocol	GLDS-183_array_raw_intensities_GLmicroarray.csv	GLDS-183_array_normalized_expression_GLmicroarray.csv	GLDS-183_array_SampleTable_GLmicroarray.csv,GLDS-183_array_contrasts_GLmicroarray.csv,GLDS-183_array_differential_expression_GLmicroarray.csv
GSM1347819 extract 1	GSM1347819 extract 1	Nucleic Acid Extraction Protocol	Labelling Protocol	GSM1347819 LE 1	Cy3	OSD	https://osdr.nasa.gov/	Hybridization Protocol	array assay	GSM1347819	AGILENT WholeGenome 4x44k v2	Array Scanning Protocol	GLDS-183_microarray_GSM1347819_H1299_DBP_rep2.txt	GeneLab microarray data processing protocol	GLDS-183_array_raw_intensities_GLmicroarray.csv	GLDS-183_array_normalized_expression_GLmicroarray.csv	GLDS-183_array_SampleTable_GLmicroarray.csv,GLDS-183_array_contrasts_GLmicroarray.csv,GLDS-183_array_differential_expression_GLmicroarray.csv
GSM1347818 extract 1	GSM1347818 extract 1	Nucleic Acid Extraction Protocol	Labelling Protocol	GSM1347818 LE 1	Cy3	OSD	https://osdr.nasa.gov/	Hybridization Protocol	array assay	GSM1347818	AGILENT WholeGenome 4x44k v2	Array Scanning Protocol	GLDS-183_microarray_GSM1347818_H1299_DBP_rep1.txt	GeneLab microarray data processing protocol	GLDS-183_array_raw_intensities_GLmicroarray.csv	GLDS-183_array_normalized_expression_GLmicroarray.csv	GLDS-183_array_SampleTable_GLmicroarray.csv,GLDS-183_array_contrasts_GLmicroarray.csv,GLDS-183_array_differential_expression_GLmicroarray.csv
